11,15,15,15,15,15,15,15,15,15,15,15,15,27,28,15,15,15,15,15,15,15,15,15,15,15,15,10
17,00,00,00,00,00,00,00,00,00,00,00,00,29,32,00,00,00,00,00,00,00,00,00,00,00,00,14
17,00,28,30,30,27,00,28,30,30,30,27,00,29,32,00,28,30,30,30,27,00,28,30,30,27,00,14
17,01,32,59,59,29,00,32,59,59,59,29,00,29,32,00,32,59,59,59,29,00,32,59,59,29,01,14
17,00,38,31,31,37,00,38,31,31,31,37,00,38,37,00,38,31,31,31,37,00,38,31,31,37,00,14
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,14
17,00,28,30,30,27,00,28,27,00,28,31,31,31,31,31,31,27,00,28,27,00,28,30,30,27,00,14
17,00,38,31,31,37,00,32,29,00,38,30,30,27,28,30,30,37,00,29,29,00,38,31,31,37,00,14
17,00,00,00,00,00,00,32,29,00,00,00,00,32,29,00,00,00,00,29,29,00,00,00,00,00,00,14
12,16,16,16,16,39,00,32,38,30,30,27,59,32,29,59,28,31,31,37,29,00,40,16,16,16,16,13
59,59,59,59,59,17,00,32,28,31,31,37,59,38,37,59,38,31,31,27,29,00,14,59,59,59,59,59
59,59,59,59,59,17,00,32,32,59,59,59,59,59,59,59,59,59,59,29,29,00,14,59,59,59,59,59
59,59,59,59,59,17,00,32,32,59,40,16,16,48,48,16,16,39,59,29,29,00,14,59,59,59,59,59
15,15,15,15,15,41,00,38,37,59,14,59,59,02,59,05,59,17,59,38,37,00,42,15,15,15,15,15
59,59,59,59,59,59,00,59,59,59,14,04,59,59,59,59,59,17,59,59,59,00,59,59,59,59,59,59
16,16,16,16,16,39,00,28,27,59,14,59,59,03,59,59,59,17,59,28,27,00,40,16,16,16,16,16
59,59,59,59,59,17,00,32,29,59,42,15,15,15,15,15,15,41,59,32,29,00,14,59,59,59,59,59
59,59,59,59,59,17,00,32,29,59,59,59,59,06,59,59,59,59,59,32,29,00,14,59,59,59,59,59
59,59,59,59,59,17,00,32,29,59,28,30,30,30,30,30,30,27,59,32,29,00,14,59,59,59,59,59
11,15,15,15,15,41,00,38,37,59,38,31,31,27,28,31,31,37,59,38,37,00,42,15,15,15,15,10
17,00,00,00,00,00,00,00,00,00,00,00,00,32,29,00,00,00,00,00,00,00,00,00,00,00,00,14
17,00,28,30,30,27,00,28,30,30,30,27,00,32,29,00,28,30,30,30,27,00,28,30,30,27,00,14
17,00,38,31,27,29,00,38,31,31,31,37,00,38,37,00,38,31,31,31,37,00,32,28,31,37,00,14
17,01,00,00,32,29,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,32,29,00,00,01,14
38,30,27,00,32,29,00,28,27,00,28,30,30,30,30,30,30,27,00,28,27,00,32,29,00,28,30,37
28,31,37,00,38,37,00,32,29,00,38,31,31,27,28,31,31,37,00,32,29,00,38,37,00,38,31,27
17,00,00,00,00,00,00,32,29,00,00,00,00,32,29,00,00,00,00,32,29,00,00,00,00,00,00,14
17,00,28,30,30,30,30,37,38,30,30,27,00,32,29,00,28,30,30,37,38,30,30,30,30,27,00,14
17,00,38,31,31,31,31,31,31,31,31,37,00,38,37,00,38,31,31,31,31,31,31,31,31,37,00,14
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,14
12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13
